project_id,fiscal_year,member_name,state,district,recipient_name,project_description,amount_requested,award_id,award_amount,award_year,awarding_agency,match_score,match_status
earmark_000186,2022,Lisa Blunt Rochester,,,,Tidalhealth Nanticoke,341000,,,,,,missing_recipient
earmark_000187,2022,Lisa Blunt Rochester,,,,Telehealth in Delaware Libraries: The Future of Healthcare,271500,,,,,,missing_recipient
earmark_000188,2022,Lisa Blunt Rochester,,,,Delaware National Guard Fuel Cell and Corrosion Control Hangar,17500000,,,,,,missing_recipient
earmark_000189,2022,Suzanne Bonamici,,,,Cardiac Monitor/Defibrillator Project,170000,,,,,,missing_recipient
earmark_000190,2022,Suzanne Bonamici,,,,Upgrade and Expand the Coastal Margin Observation and Prediction (CMOP) Program,760000,,,,,,missing_recipient
earmark_000191,2022,Suzanne Bonamici,,,,Columbia County Small Business Resource Center,175000,,,,,,missing_recipient
earmark_000192,2022,Suzanne Bonamici,,,,Astoria Pre-Disaster Landslide Storm Drainage Project,902500,,,,,,missing_recipient
earmark_000193,2022,Suzanne Bonamici,,,,Water Supply System Construction,1000000,,,,,,missing_recipient
earmark_000194,2022,Suzanne Bonamici,,,,Newberg Clinic Expansion,2123500,,,,,,missing_recipient
earmark_000195,2022,Suzanne Bonamici,,,,Construction Trades Expansion,1000000,,,,,,missing_recipient
earmark_000196,2022,Suzanne Bonamici,,,,The Japan Institute Building Renovation Project,1750000,,,,,,missing_recipient
earmark_000197,2022,Suzanne Bonamici,,,,Behavioral Health Resource Center Plaza,1355000,,,,,,missing_recipient
earmark_000198,2022,Suzanne Bonamici,,,,Beaverton Non-Profit Incubator Development Project,500000,,,,,,missing_recipient
earmark_000199,2022,Mike Bost,,,,Police Station with Emergency Operations Center - Mt. Vernon,1000000,,,,,,missing_recipient
earmark_000200,2022,Mike Bost,,,,Randolph County Jail Renovation and Expansion,11112492,,,,,,missing_recipient
